,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
112,Patna,23,AKHILA CHANDRA NAIK,Bharatiya Janata Party,JAGANNATH NAIK,Biju Janata Dal,37979,20/20,Result Declared
113,Patnagarh,67,KANAK VARDHAN SINGH DEO,Bharatiya Janata Party,SAROJ KUMAR MEHER,Biju Janata Dal,1357,26/26,Result Declared
114,Phulbani,84,UMA CHARAN MALLICK,Bharatiya Janata Party,JAYASHREE KANHAR,Biju Janata Dal,2858,23/23,Result Declared
115,Pipili,110,ASHRIT PATTANAYAK,Bharatiya Janata Party,RUDRA PRATAP MAHARATHY,Biju Janata Dal,15162,28/28,Result Declared
116,Polasara,124,GOKULANANDA MALLIK,Bharatiya Janata Party,SRIKANTA SAHU,Biju Janata Dal,20946,22/22,Result Declared
117,Pottangi,145,RAMA CHANDRA KADAM,Indian National Congress,PRAFULLA KUMAR PANGI,Biju Janata Dal,1919,20/20,Result Declared
118,Puri,107,SUNIL KUMAR MOHANTY,Biju Janata Dal,JAYANTA KUMAR SARANGI,Bharatiya Janata Party,5178,24/24,Result Declared
119,Raghunathpali,11,DURGA CHARAN TANTI,Bharatiya Janata Party,ARCHANA REKHA BEHERA,Biju Janata Dal,5774,20/20,Result Declared
120,Rairakhol,18,PRASANNA ACHARYA,Biju Janata Dal,DEBENDRA MOHAPATRA,Bharatiya Janata Party,4960,21/21,Result Declared
121,Rairangpur,28,JALEN NAIK,Bharatiya Janata Party,RAISEN MURMU,Biju Janata Dal,7693,37/37,Result Declared
122,Rajanagar,99,DHRUBA CHARAN SAHOO,Biju Janata Dal,LALIT KUMAR BEHERA,Bharatiya Janata Party,18241,29/29,Result Declared
123,Rajgangpur,13,C.S. RAAZEN EKKA,Indian National Congress,ANIL BARWA,Biju Janata Dal,10184,23/23,Result Declared
124,Ranpur,119,SURAMA PADHY,Bharatiya Janata Party,SATYANARAYAN PRADHAN,Biju Janata Dal,15544,18/18,Result Declared
125,Rayagada,140,KADRAKA APPALA SWAMY,Indian National Congress,ANUSAYA MAJHI,Biju Janata Dal,29186,26/26,Result Declared
126,Remuna,39,GOBINDA CHANDRA DAS,Bharatiya Janata Party,BIDYASMITA MAHALIK,Biju Janata Dal,24168,24/24,Result Declared
127,Rengali,16,SUDARSHAN HARIPAL,Biju Janata Dal,NAURI NAYAK,Bharatiya Janata Party,3212,20/20,Result Declared
128,Rourkela,12,SARADA PRASAD NAYAK,Biju Janata Dal,DILIP KUMAR RAY,Bharatiya Janata Party,3552,15/15,Result Declared
129,Salipur,94,PRASANTA BEHERA,Biju Janata Dal,ARINDAM ROY,Bharatiya Janata Party,7594,26/26,Result Declared
130,Sambalpur,17,JAYANARAYAN MISHRA,Bharatiya Janata Party,ROHIT PUJARI,Biju Janata Dal,4105,19/19,Result Declared
131,Sanakhemundi,130,RAMESH CHANDRA JENA,Indian National Congress,Sulakshana Geetanjali Devi,Biju Janata Dal,10662,29/29,Result Declared
132,Saraskana,27,BHADAV HANSDAH,Bharatiya Janata Party,DEBASHIS MARNDI,Biju Janata Dal,13652,34/34,Result Declared
133,Satyabadi,109,OM PRAKASH MISHRA,Bharatiya Janata Party,SANJAY KUMAR DAS BURMA,Biju Janata Dal,17708,26/26,Result Declared
134,Simulia,42,PADMA LOCHAN PANDA,Bharatiya Janata Party,SUBASINI SAHOO,Biju Janata Dal,13183,25/25,Result Declared
135,Sonepur,65,NIRANJAN PUJARI,Biju Janata Dal,PRAMOD KUMAR MAHAPATRA,Bharatiya Janata Party,15239,23/23,Result Declared
136,Soro,41,MADHAB DHADA,Biju Janata Dal,PARSHURAM DHADA,Bharatiya Janata Party,802,23/23,Result Declared
137,Sukinda,54,PRADEEP BAL SAMANTA,Bharatiya Janata Party,PRITIRANJAN GHARAI,Biju Janata Dal,9577,19/19,Result Declared
138,Sundargarh,9,JOGESH KUMAR SINGH,Biju Janata Dal,KUSUM TETE,Bharatiya Janata Party,9122,22/22,Result Declared
139,Surada,129,NILAMANI BISOYI,Bharatiya Janata Party,SANGHAMITRA SWAIN,Biju Janata Dal,28224,19/19,Result Declared
140,Talcher,60,BRAJA KISHORE PRADHAN,Biju Janata Dal,KALANDI CHARAN SAMAL,Bharatiya Janata Party,32122,17/17,Result Declared
141,Talsara,8,BHABANI SHANKAR BHOI,Bharatiya Janata Party,BINAYA KUMAR TOPPO,Biju Janata Dal,17189,20/20,Result Declared
142,Telkoi,20,DR. FAKIR MOHAN NAIK,Bharatiya Janata Party,MADHABA SARDAR,Biju Janata Dal,9439,23/23,Result Declared
143,Tirtol,102,RAMAKANTA BHOI,Biju Janata Dal,RAJKISHORE BEHERA,Bharatiya Janata Party,28495,20/20,Result Declared
144,Titlagarh,69,NABIN KUMAR JAIN,Bharatiya Janata Party,TUKUNI SAHU,Biju Janata Dal,17399,23/23,Result Declared
145,Udala,31,BHASKAR MADHEI,Bharatiya Janata Party,SRINATH SOREN,Biju Janata Dal,6517,21/21,Result Declared
146,Umerkote,73,NITYANANDA GOND,Bharatiya Janata Party,NABINA NAYAK,Biju Janata Dal,10373,23/23,Result Declared
